PositionX,PositionY,PositionZ
5733.463,107.82279,-1149.9097
5733.446,107.81354,-1149.4772
5733.4746,107.80793,-1148.9247
5733.5674,107.817055,-1148.363
5733.675,107.824425,-1147.9077
5733.8374,107.8229,-1147.3225
5734.0566,107.83583,-1146.7133
5734.335,107.868,-1146.0847
5734.653,107.90656,-1145.426
5735.0034,107.94124,-1144.739
5735.3086,107.967636,-1144.1663
5735.8193,108.01803,-1143.2622
5736.2866,108.05939,-1142.4789
5736.7715,108.07729,-1141.6769
5737.3833,108.085945,-1140.6791
5738.0195,108.06716,-1139.6548
5738.581,108.0393,-1138.7635
5739.3013,108.0033,-1137.6354
5740.0674,107.97599,-1136.4813
5740.7188,107.958206,-1135.5349
5741.238,107.94756,-1134.7842
5741.8716,107.937225,-1133.8456
5742.4385,107.92626,-1133.2637
5742.8438,107.92073,-1133.1824
5743.3247,107.918015,-1133.0514
5743.771,107.91682,-1132.8928
5744.1006,107.916275,-1132.746
5744.4814,107.9143,-1132.5216
5744.85,107.90976,-1132.2623
5745.138,107.90588,-1132.034
5745.4717,107.90114,-1131.7056
5745.7676,107.896126,-1131.3264
5746.024,107.892204,-1130.8961
5746.208,107.889885,-1130.5199
5746.424,107.88664,-1130.0177
5746.589,107.883804,-1129.5923
5746.7856,107.88045,-1129.0306
5746.9697,107.878265,-1128.4341
5747.105,107.87773,-1127.9308
5747.2593,107.87693,-1127.2661
5747.3975,107.87583,-1126.5543
5747.4985,107.87424,-1125.9481
5747.619,107.8709,-1125.1428
5747.726,107.86688,-1124.2832
5747.797,107.86359,-1123.5552
5747.8667,107.85995,-1122.5956
5747.9155,107.85712,-1121.5803
5747.9404,107.85577,-1120.5084
5747.9424,107.85625,-1119.6099
5747.9233,107.85855,-1118.4348
5747.894,107.86191,-1117.454
5747.841,107.86841,-1116.1759
5747.7715,107.87633,-1114.8429
5747.705,107.88216,-1113.7368
5747.6094,107.88809,-1112.303
5747.5005,107.89293,-1110.8085
5747.378,107.8967,-1109.2543
5747.27,107.89821,-1107.9696
5747.1235,107.897385,-1106.3105
5746.9634,107.89414,-1104.5913
5746.8247,107.89196,-1103.1696
5746.637,107.8911,-1101.3352
5746.434,107.89208,-1099.4407
5746.261,107.89253,-1097.8834
5746.0317,107.89104,-1095.901
5745.7905,107.88636,-1093.9031
5745.5874,107.884094,-1092.2681
5745.3228,107.88413,-1090.1879
5745.048,107.886,-1088.0647
5744.82,107.887856,-1086.333
5744.526,107.890144,-1084.1273
5744.2236,107.89192,-1081.8763
5743.9756,107.89274,-1080.041
5743.658,107.8928,-1077.7029
5743.3335,107.890854,-1075.317
5743.0693,107.88732,-1073.3754
5742.7324,107.882286,-1070.9021
5742.458,107.880486,-1068.8882
5742.108,107.88274,-1066.3253
5741.7515,107.886795,-1063.7178
5741.388,107.89036,-1061.0634
5741.0933,107.89144,-1058.9081
